condition,domain,subject,expert_absolute_turning_per_100_steps,expert_area_pixels,expert_axis_run_max,expert_axis_run_mean,expert_axis_run_median,expert_axis_run_p95,expert_axis_runs_ge2_percent,expert_axis_runs_ge4_percent,expert_chain_steps,expert_direction_changes,expert_direction_changes_per_100_steps,expert_normalized_perimeter,expert_perimeter_pixels,prediction_absolute_turning_per_100_steps,prediction_area_pixels,prediction_axis_run_max,prediction_axis_run_mean,prediction_axis_run_median,prediction_axis_run_p95,prediction_axis_runs_ge2_percent,prediction_axis_runs_ge4_percent,prediction_chain_steps,prediction_direction_changes,prediction_direction_changes_per_100_steps,prediction_normalized_perimeter,prediction_perimeter_pixels,prediction_expert_absolute_turning_per_100_steps_ratio,prediction_expert_area_pixels_ratio,prediction_expert_axis_run_max_ratio,prediction_expert_axis_run_mean_ratio,prediction_expert_axis_run_median_ratio,prediction_expert_axis_run_p95_ratio,prediction_expert_axis_runs_ge2_percent_ratio,prediction_expert_axis_runs_ge4_percent_ratio,prediction_expert_chain_steps_ratio,prediction_expert_direction_changes_ratio,prediction_expert_direction_changes_per_100_steps_ratio,prediction_expert_normalized_perimeter_ratio,prediction_expert_perimeter_pixels_ratio
corrected_baseline,CAMRI,064,51.376597969626516,4925.452830188679,19.452830188679247,2.013077562876491,1.8679245283018868,4.569811320754717,54.15766471146709,9.872776097989481,333.20754716981133,159.81132075471697,48.007652987501274,5.940907199006702,391.0887656880045,51.257225152129394,4899.924528301887,17.92452830188679,2.0104250341024925,1.9056603773584906,4.525471698113206,55.189030531643866,9.538836975812432,343.1509433962264,164.16981132075472,48.22957623771248,6.115153547193346,398.34632715206277,0.9976765137783609,0.9948170649954606,0.9214354995150338,0.9986823514290187,1.02020202020202,0.9902972749793556,1.0190437646392534,0.966175762636301,1.029841449603624,1.0272727272727273,1.0046226640212756,1.0293299225774437,1.0185573253460523
level0,CAMRI,064,51.376597969626516,4925.452830188679,19.452830188679247,2.013077562876491,1.8679245283018868,4.569811320754717,54.15766471146709,9.872776097989481,333.20754716981133,159.81132075471697,48.007652987501274,5.940907199006702,391.0887656880045,50.99593979995822,4982.076923076923,20.76923076923077,2.0076702458177262,1.8942307692307692,4.570192307692305,53.856906083088155,9.503710489729254,340.88461538461536,162.17307692307693,47.93862284559433,6.0549760036833975,400.8808670486083,0.9925908256927923,1.0114962207213087,1.0676714168469745,0.997313905257064,1.014083139083139,1.0000833703868381,0.994446610096996,0.9626178488606275,1.023039898945901,1.014778403414767,0.9985621012982052,1.0192005700233404,1.0250380533007066
corrected_baseline,CAMRI,007,49.597661538369266,12146.0,19.333333333333332,2.003316202513545,2.0,4.566666666666663,54.46644071896867,8.020609885148078,460.0833333333333,215.91666666666666,47.12778113684553,4.7980500174060445,527.4196278254944,40.7646852338046,12119.583333333334,25.833333333333332,2.000848896434635,1.0,5.229166666666667,30.080757225849606,14.838685864506457,497.6666666666667,168.58333333333334,33.93698842508925,4.8637485053251135,533.75,0.8219074038857379,0.9978250727262749,1.3362068965517242,0.9987683890961325,0.5,1.145072992700731,0.5522805755025879,1.8500695180279927,1.0816880999818874,0.7807796217676574,0.7201057976089728,1.0136927476122033,1.0120025343019659
level0,CAMRI,007,49.597661538369266,12146.0,19.333333333333332,2.003316202513545,2.0,4.566666666666663,54.46644071896867,8.020609885148078,460.0833333333333,215.91666666666666,47.12778113684553,4.7980500174060445,527.4196278254944,40.89889376705571,12089.666666666666,23.25,2.001739260823929,1.0,5.23333333333333,30.03969074744243,14.759129911139448,498.1666666666667,168.25,33.87632097445211,4.864422334420274,532.9166666666666,0.8246133486639466,0.9953619847412042,1.2025862068965518,0.9992128343555363,0.5,1.1459854014598543,0.5515265978630527,1.8401505773855453,1.0827748596268794,0.7792358162871479,0.7188185006224889,1.0138331857261698,1.0104225147324077
corrected_baseline,CAMRI,043,48.40483068116382,11068.583333333334,20.083333333333332,2.0013213561273737,1.875,4.416666666666667,53.466057490230945,8.779903413418255,439.6666666666667,201.33333333333334,46.086070699299434,4.783209514908237,502.1005922317656,40.50843180129416,11083.25,31.666666666666668,2.001878469855437,1.0,5.587500000000001,29.75785532680231,14.734198766266502,476.5833333333333,160.16666666666666,33.741244139676745,4.860735188105712,510.3333333333333,0.8368675446489588,1.0013250717119775,1.5767634854771786,1.0002783729491305,0.5333333333333333,1.2650943396226417,0.5565747078366404,1.6781732181413689,1.0839651250947686,0.7955298013245032,0.7321354072433356,1.0162078773584649,1.0163965970742523
level0,CAMRI,043,48.40483068116382,11068.583333333334,20.083333333333332,2.0013213561273737,1.875,4.416666666666667,53.466057490230945,8.779903413418255,439.6666666666667,201.33333333333334,46.086070699299434,4.783209514908237,502.1005922317656,41.08511567841694,10987.0,25.0,2.003009607407837,1.0,5.5625,29.69774397903205,15.218333756837097,477.5,160.58333333333334,33.856646385275646,4.897742781132123,511.8333333333333,0.8487813117050058,0.9926292886021246,1.2448132780082988,1.0008435683131518,0.5333333333333333,1.2594339622641508,0.5554504179489628,1.7333144842549226,1.0860500379075055,0.7975993377483444,0.7346394663624536,1.0239448566630647,1.019384046249193
corrected_baseline,CAMRI,078,50.839460215240024,4525.240740740741,20.48148148148148,2.010175897792082,1.7962962962962963,4.675925925925925,53.20735476191875,9.6582960925876,316.6111111111111,150.24074074074073,47.718098747403076,5.821762180501979,370.5634519790961,51.19084377622263,4536.666666666667,20.64814814814815,2.012092237237312,1.8703703703703705,4.625925925925923,53.987915804886114,9.244063421627622,321.94444444444446,155.5185185185185,48.45905545413722,5.924348941381368,377.7274865045826,1.0069116304440477,1.0025249321705823,1.0081374321880652,1.0009533192828224,1.041237113402062,0.989306930693069,1.014670171942583,0.9571112060565334,1.0168450605369364,1.035128805620609,1.0155277918899581,1.0176212558498126,1.019332814629249
level0,CAMRI,078,50.839460215240024,4525.240740740741,20.48148148148148,2.010175897792082,1.7962962962962963,4.675925925925925,53.20735476191875,9.6582960925876,316.6111111111111,150.24074074074073,47.718098747403076,5.821762180501979,370.5634519790961,52.3244516614075,4518.481481481482,20.87037037037037,2.021817215957777,1.8888888888888888,4.6240740740740724,54.052013769095964,9.619986858139505,322.3703703703704,156.11111111111111,48.850294815365295,5.916570160566783,377.2391053378783,1.0292094259042177,0.9985063205149716,1.018987341772152,1.0057911937848234,1.0515463917525774,0.9889108910891088,1.01587485434968,0.9960335411048854,1.0181903257881502,1.0390730925674843,1.023726764009512,1.0162851001338273,1.0180148725491653
corrected_baseline,CAMRI,009,48.04897977981209,10864.0,20.416666666666668,2.0009153085439073,1.75,4.324999999999998,53.29525390070517,7.915408850049379,433.5833333333333,197.33333333333334,45.69927408935727,4.7683340400855965,495.50296115882776,40.86506648720114,10946.166666666666,28.333333333333332,2.0012683941280742,1.0,5.487499999999997,29.9321693347508,14.480493068732379,473.0833333333333,160.91666666666666,34.09885982649673,4.860799866327087,506.8333333333333,0.8504877038902439,1.0075632056946489,1.387755102040816,1.00017646203348,0.5714285714285714,1.26878612716763,0.5616291722808502,1.8294055737426684,1.091101287718624,0.815456081081081,0.7461575814053879,1.019391641916058,1.0228664065861632
level0,CAMRI,009,48.04897977981209,10864.0,20.416666666666668,2.0009153085439073,1.75,4.324999999999998,53.29525390070517,7.915408850049379,433.5833333333333,197.33333333333334,45.69927408935727,4.7683340400855965,495.50296115882776,41.1971360837535,10902.916666666666,24.333333333333332,2.006918989577588,1.0,5.324999999999998,30.389886601880296,14.977717091136114,482.0,164.33333333333334,34.026116327491884,4.938999045894016,514.5,0.8573987683514268,1.0035821674030436,1.1918367346938774,1.0030004673401443,0.5714285714285714,1.23121387283237,0.5702175030163088,1.8922227992105143,1.111666346338651,0.8327702702702703,0.7445657946548455,1.035791327615411,1.0383389007338
