condition,domain,subject,expert_absolute_turning_per_100_steps,expert_area_pixels,expert_axis_run_max,expert_axis_run_mean,expert_axis_run_median,expert_axis_run_p95,expert_axis_runs_ge2_percent,expert_axis_runs_ge4_percent,expert_chain_steps,expert_direction_changes,expert_direction_changes_per_100_steps,expert_normalized_perimeter,expert_perimeter_pixels,prediction_absolute_turning_per_100_steps,prediction_area_pixels,prediction_axis_run_max,prediction_axis_run_mean,prediction_axis_run_median,prediction_axis_run_p95,prediction_axis_runs_ge2_percent,prediction_axis_runs_ge4_percent,prediction_chain_steps,prediction_direction_changes,prediction_direction_changes_per_100_steps,prediction_normalized_perimeter,prediction_perimeter_pixels,prediction_expert_absolute_turning_per_100_steps_ratio,prediction_expert_area_pixels_ratio,prediction_expert_axis_run_max_ratio,prediction_expert_axis_run_mean_ratio,prediction_expert_axis_run_median_ratio,prediction_expert_axis_run_p95_ratio,prediction_expert_axis_runs_ge2_percent_ratio,prediction_expert_axis_runs_ge4_percent_ratio,prediction_expert_chain_steps_ratio,prediction_expert_direction_changes_ratio,prediction_expert_direction_changes_per_100_steps_ratio,prediction_expert_normalized_perimeter_ratio,prediction_expert_perimeter_pixels_ratio
current_best,CAMRI,064,51.376597969626516,4925.452830188679,19.452830188679247,2.013077562876491,1.8679245283018868,4.569811320754717,54.15766471146709,9.872776097989481,333.20754716981133,159.81132075471697,48.007652987501274,5.940907199006702,391.0887656880045,51.681045477147805,4889.301886792453,17.867924528301888,2.014327363677595,1.8679245283018868,4.649056603773583,54.85036535057571,9.662880908526644,343.77358490566036,164.03773584905662,48.16610332556207,6.05887644187386,395.70627365142644,1.0059258012315506,0.9926603817674077,0.918525703200776,1.0006208408578743,1.0,1.0173410404624275,1.0127904451345728,0.9787400030771911,1.031710079275198,1.0264462809917356,1.003300522483406,1.0198571091780195,1.0118068028758096
unetr_style,CAMRI,064,51.376597969626516,4925.452830188679,19.452830188679247,2.013077562876491,1.8679245283018868,4.569811320754717,54.15766471146709,9.872776097989481,333.20754716981133,159.81132075471697,48.007652987501274,5.940907199006702,391.0887656880045,53.173119094582674,5053.096153846154,18.673076923076923,2.0153765070558975,1.8557692307692308,4.713461538461536,53.11117527105911,10.019525118926444,361.38461538461536,174.55769230769232,48.46054036284815,6.2036206802772815,418.65261682428985,1.0349676933848024,1.0259150433590865,0.9599156905170484,1.00114200477011,0.9934926184926185,1.0314346058565709,0.9806769836553458,1.0148640078008906,1.084563115253942,1.0922736354554539,1.0094336495780118,1.044221105038386,1.0704797824805705
current_best,CAMRI,007,49.597661538369266,12146.0,19.333333333333332,2.003316202513545,2.0,4.566666666666663,54.46644071896867,8.020609885148078,460.0833333333333,215.91666666666666,47.12778113684553,4.7980500174060445,527.4196278254944,46.90142071293718,12098.583333333334,23.5,2.0063954293990345,1.0,4.970833333333322,40.56965623320454,9.674738893969323,486.0833333333333,197.33333333333334,40.69382870460293,4.883265602762218,535.38511002863,0.9456377429539446,0.9960961084582031,1.2155172413793105,1.0015370648336124,0.5,1.0885036496350349,0.7448560195539933,1.206234816617154,1.056511501539576,0.913932844461598,0.8634785623884933,1.0177604620725156,1.0151027413143052
unetr_style,CAMRI,007,49.597661538369266,12146.0,19.333333333333332,2.003316202513545,2.0,4.566666666666663,54.46644071896867,8.020609885148078,460.0833333333333,215.91666666666666,47.12778113684553,4.7980500174060445,527.4196278254944,48.17060180066014,12177.166666666666,25.416666666666668,2.0136214959968717,1.0,5.0625,40.508425620080324,10.411139206482243,504.0,208.83333333333334,41.33453566859752,5.024099521257262,552.9541456223589,0.9712272777899994,1.0025660025248366,1.3146551724137931,1.0051441172743458,0.5,1.1085766423357672,0.7437318298269621,1.298048322454974,1.0954537221517842,0.9671941335391742,0.8770736638029681,1.0471127860341536,1.0484140453819306
current_best,CAMRI,043,48.40483068116382,11068.583333333334,20.083333333333332,2.0013213561273737,1.875,4.416666666666667,53.466057490230945,8.779903413418255,439.6666666666667,201.33333333333334,46.086070699299434,4.783209514908237,502.1005922317656,45.968585883117434,11011.5,19.0,2.0016694326633475,1.0,5.299999999999993,39.45402863540249,10.405786692301895,460.5,184.91666666666666,40.30826765283559,4.85988531102879,508.88511002863,0.9496693870474704,0.9948427606664508,0.9460580912863071,1.0001739233606377,0.5333333333333333,1.1999999999999982,0.7379266489325743,1.1851823650359086,1.0473843821076572,0.9184602649006621,0.8746301657140044,1.0160301981089415,1.0135122680630753
unetr_style,CAMRI,043,48.40483068116382,11068.583333333334,20.083333333333332,2.0013213561273737,1.875,4.416666666666667,53.466057490230945,8.779903413418255,439.6666666666667,201.33333333333334,46.086070699299434,4.783209514908237,502.1005922317656,47.175549228483554,11043.166666666666,19.75,2.011289217258564,1.0,5.212499999999982,39.877406208102315,10.431525508434426,476.5833333333333,193.75,40.83208968598071,4.988772079169817,523.2386634192233,0.9746041575730864,0.997703710953675,0.9834024896265561,1.0049806399660266,0.5333333333333333,1.1801886792452787,0.7458452723092313,1.1881139253185873,1.0839651250947686,0.9623344370860927,0.8859963339552271,1.0429758645572362,1.0420992755525382
current_best,CAMRI,078,50.839460215240024,4525.240740740741,20.48148148148148,2.010175897792082,1.7962962962962963,4.675925925925925,53.20735476191875,9.6582960925876,316.6111111111111,150.24074074074073,47.718098747403076,5.821762180501979,370.5634519790961,51.332542360567594,4538.185185185185,20.90740740740741,2.0139985381908407,1.8240740740740742,4.57685185185185,53.53786769747697,9.51887442326845,318.1666666666667,154.05555555555554,47.99061826678343,5.838160622382026,372.67905643626506,1.0096988076435116,1.0028604985206435,1.0207956600361665,1.001901644728184,1.0154639175257734,0.9788118811881187,1.006211790400728,0.9855645687414625,1.0049131426566065,1.0253913472205103,1.0057110305425818,1.0028167488419517,1.0057091557353268
unetr_style,CAMRI,078,50.839460215240024,4525.240740740741,20.48148148148148,2.010175897792082,1.7962962962962963,4.675925925925925,53.20735476191875,9.6582960925876,316.6111111111111,150.24074074074073,47.718098747403076,5.821762180501979,370.5634519790961,53.08776711281844,4604.074074074074,21.5,2.0163634509808297,1.6666666666666667,4.776851851851851,52.644872668414735,9.890786580955398,337.0,162.53703703703704,48.67053378432004,6.0831269939895085,389.8640351901856,1.0442236579235837,1.0174208042952493,1.0497287522603977,1.0030781153010262,0.9278350515463918,1.0215841584158416,0.9894284898014402,1.0240715842772956,1.0643972626776628,1.0818439541476643,1.0199596182982626,1.0448944504059068,1.0520844220011698
current_best,CAMRI,009,48.04897977981209,10864.0,20.416666666666668,2.0009153085439073,1.75,4.324999999999998,53.29525390070517,7.915408850049379,433.5833333333333,197.33333333333334,45.69927408935727,4.7683340400855965,495.50296115882776,47.87858036652841,10946.916666666666,23.25,2.0079703934407687,1.0,5.145833333333333,40.352733271936394,10.34853090103575,466.9166666666667,195.33333333333334,41.77910872808602,4.884600346692358,509.56903559372887,0.9964536309810417,1.0076322410407461,1.1387755102040815,1.0035259287920564,0.5714285714285714,1.189788053949904,0.7571543489992169,1.3073905716154122,1.0768787238131847,0.9898648648648649,0.9142182137596755,1.0243830037135306,1.0283874679618563
unetr_style,CAMRI,009,48.04897977981209,10864.0,20.416666666666668,2.0009153085439073,1.75,4.324999999999998,53.29525390070517,7.915408850049379,433.5833333333333,197.33333333333334,45.69927408935727,4.7683340400855965,495.50296115882776,49.37508825880462,10986.166666666666,21.583333333333332,2.0156663574683518,1.0,5.137499999999998,40.725554675302874,10.799730366536798,491.25,207.58333333333334,42.30647380301493,5.071695240007749,530.5291035337432,1.027599097526514,1.011245090819833,1.057142857142857,1.0073721505660223,0.5714285714285714,1.1878612716763006,0.764149744950629,1.3643932450146812,1.1330001921968096,1.0519425675675675,0.9257581142381325,1.0636199556012453,1.0706880586404572
current_best,CAMRI,099,49.77214921779494,12913.75,17.75,2.002147995861764,1.9166666666666667,4.374999999999996,54.17473789441422,8.101005514113174,479.0,225.58333333333334,47.30950929057997,4.833489128280033,547.8047378541245,46.995700877120505,12976.416666666666,23.083333333333332,2.002016944836412,1.0,4.979166666666667,39.897156029992296,9.758671055713329,505.3333333333333,206.25,40.972689336039956,4.897647254094566,556.5517766952967,0.9442168284008564,1.0048527086761527,1.300469483568075,0.9999345447860882,0.5217391304347826,1.1380952380952394,0.736453143672818,1.2046246652606583,1.0549756437021571,0.9142962689323975,0.8660561047966362,1.0132736671401934,1.0159674391927247
unetr_style,CAMRI,099,49.77214921779494,12913.75,17.75,2.002147995861764,1.9166666666666667,4.374999999999996,54.17473789441422,8.101005514113174,479.0,225.58333333333334,47.30950929057997,4.833489128280033,547.8047378541245,47.8425660166248,13066.083333333334,23.416666666666668,2.009762126256311,1.0,5.083333333333333,40.180606189907756,9.964548010057584,521.0833333333334,213.5,41.02946100067099,4.988074334906228,568.9886634192234,0.9612316680815491,1.0117962120478818,1.31924882629108,1.003802980803759,0.5217391304347826,1.161904761904763,0.7416852900741149,1.2300384184034732,1.08785664578984,0.9464351680827484,0.8672561101545937,1.0319821153050164,1.0386705774909526
current_best,Mouse,POLYIC_20190510_mouse34__E2_P1,51.14627259063001,2997.942857142857,14.742857142857142,2.0037384190289003,1.957142857142857,4.249999999999997,57.09227323675528,7.605097959087845,213.22857142857143,105.22857142857143,48.79456353505795,4.667870462991962,244.77836116248915,47.69767153406499,3030.4,17.257142857142856,2.007886040220633,1.0,5.082857142857142,40.474034774942275,9.964356040665374,228.14285714285714,94.74285714285715,41.22721640428073,4.736648990282377,248.98140692585474,0.9325737559769545,1.0108264714852089,1.1705426356589148,1.0020699414416294,0.5109489051094891,1.1959663865546224,0.7089231603565858,1.3102206038987692,1.0699450623073832,0.9003529731197394,0.844914134228494,1.0147344550016346,1.0171708223856255
unetr_style,Mouse,POLYIC_20190510_mouse34__E2_P1,51.14627259063001,2997.942857142857,14.742857142857142,2.0037384190289003,1.957142857142857,4.249999999999997,57.09227323675528,7.605097959087845,213.22857142857143,105.22857142857143,48.79456353505795,4.667870462991962,244.77836116248915,49.68040435253501,3033.8285714285716,15.971428571428572,2.0166011813185825,1.0,5.139999999999998,41.329266482923295,10.563920355530305,236.02857142857144,100.91428571428571,42.68816947654055,4.897609437911655,256.1775200981599,0.9713396858882039,1.0119701128392804,1.0833333333333335,1.0064193819749765,0.5109489051094891,1.2094117647058826,0.7239029756537358,1.3890577626165568,1.1069275090446202,0.9590008145533532,0.8748550326896547,1.0492170844801971,1.0465693081755039
current_best,Mouse,POLYIC_20190510_mouse35__E3_P1,50.01383467199223,3082.8285714285716,14.314285714285715,2.0058674792712794,1.9714285714285715,4.215714285714286,55.879794574267095,7.866620762820964,217.31428571428572,104.85714285714286,47.670537023674605,4.668143415662857,248.49264687677487,47.905247964198175,3093.3714285714286,18.4,2.009577959198204,1.0,4.81142857142857,40.25918376392099,9.80004959216196,230.14285714285714,95.08571428571429,41.35137435565083,4.74193264175194,251.5044815499855,0.957839931258563,1.0034198648736317,1.2854291417165666,1.0018498130934714,0.5072463768115941,1.141308031175872,0.7204604825526779,1.2457762853497045,1.0590323428871944,0.9068119891008174,0.8674409171248587,1.0158069749617162,1.012120417690686
unetr_style,Mouse,POLYIC_20190510_mouse35__E3_P1,50.01383467199223,3082.8285714285716,14.314285714285715,2.0058674792712794,1.9714285714285715,4.215714285714286,55.879794574267095,7.866620762820964,217.31428571428572,104.85714285714286,47.670537023674605,4.668143415662857,248.49264687677487,50.286049055150194,3107.942857142857,16.62857142857143,2.0191186143396664,1.0,4.982857142857139,41.2719218844972,10.40993492895982,239.4857142857143,101.28571428571429,42.22234864271127,4.85808497699882,258.38343743476526,1.0054427816811737,1.0081465073819034,1.1616766467065869,1.006606186702424,0.5072463768115941,1.181972212809216,0.7385839944283388,1.3233045347958057,1.102024717328425,0.9659400544959128,0.8857116214516819,1.0406888872991047,1.0398031518530009
current_best,Mouse,POLYIC_20190510_mouse37__E2_P1,49.641420130691806,3459.4857142857145,16.37142857142857,2.0040662282255988,1.8571428571428572,4.394285714285712,55.56980039982166,8.297297377449066,231.45714285714286,110.31428571428572,47.322732582230095,4.667807947032379,264.1271356419516,47.00729326201397,3433.6285714285714,20.37142857142857,2.0052320877358203,1.0142857142857142,5.004285714285713,40.37683383000468,9.766356685390264,243.85714285714286,98.05714285714286,40.420585577287966,4.726352602916584,265.7793764169444,0.9469369155486904,0.9925257263672552,1.2443280977312392,1.000581746997081,0.5461538461538461,1.1388166449934982,0.7265967043159338,1.1770527487581561,1.053573632884829,0.888888888888889,0.8541473277573596,1.0125422160784112,1.0062554753072874
